driver_id,delivery_distance_meters
1117.0,839492.0
1126.0,237417.0
1165.0,19994.0
1173.0,952791.0
1181.0,326515.0
1184.0,35777.0
1202.0,11375.0
1203.0,606353.0
1212.0,446283.0
1223.0,161787.0
1229.0,1211707.0
1251.0,1720865.0
1253.0,17927.0
1281.0,4479.0
1286.0,13336.0
1301.0,490786.0
1374.0,196804.0
1377.0,1737937.0
1395.0,930731.0
1402.0,2241.0
1405.0,138424.0
1419.0,845974.0
1433.0,239528.0
1463.0,98526.0
1482.0,2261023.0
1488.0,20909.0
1511.0,160289.0
1547.0,111645.0
1599.0,244729.0
1621.0,868162.0
1626.0,503.0
1657.0,3572.0
1706.0,108952.0
1737.0,400.0
1759.0,29016.0
1786.0,30842.0
1787.0,5063.0
1800.0,362564.0
1808.0,78509.0
1822.0,44245.0
1829.0,647253.0
1837.0,140650.0
1855.0,1158402.0
1874.0,132323.0
1912.0,10436.0
1916.0,47070.0
1943.0,497707.0
1948.0,35087.0
1959.0,11730.0
1972.0,25141.0
1983.0,92431.0
2000.0,57069.0
2001.0,247189.0
2002.0,177724.0
2033.0,17703.0
2061.0,185591.0
2089.0,57900.0
2091.0,391729.0
2119.0,620911.0
2147.0,3268.0
2156.0,1687466.0
2159.0,193100.0
2165.0,76493.0
2174.0,10601.0
2178.0,527.0
2186.0,57529.0
2228.0,286426.0
2240.0,343976.0
2244.0,6561.0
2260.0,4056.0
2267.0,337368.0
2275.0,8718.0
2276.0,7184.0
2296.0,14601.0
2304.0,1694.0
2321.0,241280.0
2324.0,17695.0
2331.0,37649.0
2337.0,1406087.0
2354.0,1804197.0
2355.0,2192999.0
2364.0,67692.0
2395.0,29861.0
2426.0,610788.0
2447.0,6287.0
2465.0,73894.0
2468.0,78430.0
2472.0,180762.0
2473.0,137232.0
2476.0,1585.0
2486.0,6252.0
2489.0,20256.0
2490.0,2401512.0
2511.0,661330.0
2519.0,327925.0
2550.0,4558.0
2552.0,56003.0
2561.0,1675467.0
2631.0,45204.0
2638.0,99085.0
2649.0,17872.0
2672.0,21081.0
2674.0,84882.0
2688.0,597452.0
2703.0,518599.0
2722.0,12729.0
2726.0,1638459.0
2743.0,3633.0
2745.0,37503.0
2750.0,1177932.0
2751.0,299396.0
2758.0,1925.0
2761.0,4070.0
2762.0,48841.0
2790.0,10568.0
2820.0,155949.0
2836.0,691296.0
2837.0,1138064.0
2854.0,11028.0
2872.0,147695.0
2876.0,10129.0
2905.0,432166.0
2913.0,953381.0
2917.0,14313.0
2926.0,4347.0
2930.0,21931.0
2932.0,61344.0
2941.0,46453.0
2945.0,101532.0
2969.0,254560.0
2994.0,48092.0
3022.0,297293.0
3023.0,52302.0
3024.0,32240.0
3026.0,3429.0
3039.0,16048.0
3068.0,74030.0
3076.0,10703.0
3088.0,38068.0
3092.0,21494.0
3099.0,5083.0
3104.0,3603.0
3140.0,498092.0
3153.0,4017.0
3230.0,324045.0
3236.0,10331.0
3251.0,4379.0
3257.0,26019.0
3287.0,33034.0
3306.0,129683.0
3321.0,19801.0
3331.0,17589.0
3354.0,263958.0
3358.0,1437961.0
3363.0,1989.0
3364.0,88046.0
3405.0,122997.0
3406.0,2157.0
3421.0,113349.0
3425.0,589753.0
3441.0,1604.0
3449.0,10111.0
3478.0,381531.0
3518.0,296076.0
3538.0,6336.0
3545.0,66769.0
3550.0,62829.0
3559.0,9400.0
3560.0,4522.0
3572.0,20558.0
3577.0,3046.0
3582.0,10659.0
3603.0,82038.0
3606.0,736702.0
3621.0,799175.0
3623.0,13342.0
3625.0,1329103.0
3638.0,33825.0
3642.0,25111.0
3653.0,41374.0
3659.0,24345.0
3673.0,2934.0
3682.0,4892.0
3695.0,13200.0
3715.0,940.0
3724.0,8457.0
3740.0,38858.0
3745.0,91288.0
3753.0,91115.0
3754.0,28334.0
3758.0,55259.0
3780.0,867126.0
3834.0,368955.0
3851.0,296895.0
3861.0,83531.0
3863.0,1472778.0
3864.0,155860.0
3872.0,149194.0
3873.0,41309.0
3878.0,408902.0
3883.0,2799.0
3884.0,120808.0
3885.0,13230.0
3888.0,30037.0
3906.0,364080.0
4029.0,1525.0
4059.0,184801.0
4061.0,11366.0
4070.0,81043.0
4071.0,9435.0
4075.0,289.0
4076.0,10983.0
4097.0,50836.0
4104.0,452.0
4107.0,26779.0
4149.0,245821.0
4179.0,121978.0
4190.0,204087.0
4244.0,37511.0
4256.0,8992.0
4257.0,21407.0
4285.0,46728.0
